# JD = 2455785.70023958
Wave   Flux
3657.2598  19659.33
3658.7361  19583.68
3660.2124  19863.48
3661.6887  20039.53
3663.1651  19960.34
3664.6414  19877.5
3666.1177  19927.89
3667.5940  20043.5
3669.0703  19948.36
3670.5467  20150.03
3672.0230  20376.05
3673.4993  20455.42
3674.9756  20326.89
3676.4520  20255.26
3677.9283  20470.27
3679.4046  20573.72
3680.8809  20808.27
3682.3572  20801.64
3683.8336  20749.68
3685.3099  20799.95
3686.7862  20788.7
3688.2625  21282.24
3689.7388  21370.14
3691.2152  21696.6
3692.6915  22172.23
3694.1678  22428.27
3695.6441  22902.15
3697.1205  24177.85
3698.5968  26435.45
3700.0731  28379.71
3701.5494  29056.76
3703.0257  29154.12
3704.5021  29297.24
3705.9784  29751.39
3707.4547  30391.78
3708.9310  30368.99
3710.4074  29763.35
3711.8837  30083.5
3713.3600  31154.07
3714.8363  32914.01
3716.3126  33441.4
3717.7890  32115.56
3719.2653  30636.12
3720.7416  28886.54
3722.2179  28655.52
3723.6943  30665.06
3725.1706  32931.8
3726.6469  34176.38
3728.1232  34903.93
3729.5995  34201.61
3731.0759  31759.21
3732.5522  29530.15
3734.0285  28966.22
3735.5048  31250.02
3736.9811  35652.46
3738.4575  40133.93
3739.9338  43306.92
3741.4101  44798.32
3742.8864  44268.29
3744.3628  41740.57
3745.8391  38213.18
3747.3154  34221.29
3748.7917  31311.35
3750.2680  31296.71
3751.7444  35115.12
3753.2207  40168.
3754.6970  45144.73
3756.1733  49381.72
3757.6497  52224.75
3759.1260  53415.03
3760.6023  54102.98
3762.0786  53249.13
3763.5549  50893.83
3765.0313  46654.04
3766.5076  41172.88
3767.9839  36288.55
3769.4602  33537.07
3770.9366  33811.06
3772.4129  37935.3
3773.8892  43873.24
3775.3655  50476.96
3776.8418  56910.77
3778.3182  62843.95
3779.7945  66549.29
3781.2708  70352.68
3782.7471  71862.88
3784.2234  71971.13
3785.6998  71237.89
3787.1761  68683.77
3788.6524  65074.26
3790.1287  60308.45
3791.6051  54021.31
3793.0814  47225.18
3794.5577  41210.09
3796.0340  36211.45
3797.5103  34908.13
3798.9867  37515.55
3800.4630  42616.7
3801.9393  48998.64
3803.4156  56079.8
3804.8920  62458.36
3806.3683  68191.48
3807.8446  73609.48
3809.3209  78327.34
3810.7972  81089.85
3812.2736  83297.88
3813.7499  85708.23
3815.2262  87315.99
3816.7025  88184.38
3818.1789  87752.93
3819.6552  86262.41
3821.1315  83783.7
3822.6078  80991.66
3824.0841  76448.85
3825.5605  71100.45
3827.0368  64851.19
3828.5131  59242.58
3829.9894  52346.39
3831.4657  45328.12
3832.9421  39706.31
3834.4184  36107.7
3835.8947  37132.92
3837.3710  40890.82
3838.8474  46594.59
3840.3237  53389.14
3841.8000  59718.07
3843.2763  66564.05
3844.7526  72475.64
3846.2290  79061.77
3847.7053  85288.09
3849.1816  89759.33
3850.6579  94209.38
3852.1343  97762.03
3853.6106  98381.34
3855.0869  96617.67
3856.5632  97430.33
3858.0395  99052.27
3859.5159  100054.3
3860.9922  101706.1
3862.4685  103307.4
3863.9448  104816.8
3865.4212  105776.5
3866.8975  106077.4
3868.3738  105965.5
3869.8501  104322.8
3871.3264  101705.
3872.8028  99002.43
3874.2791  95639.5
3875.7554  91676.45
3877.2317  86630.81
3878.7080  81303.27
3880.1844  75780.36
3881.6607  68769.16
3883.1370  61049.51
3884.6133  53053.2
3886.0897  45684.84
3887.5660  40940.14
3889.0423  40552.55
3890.5186  44757.86
3891.9949  51613.68
3893.4713  59858.36
3894.9476  67987.66
3896.4239  74894.8
3897.9002  81650.78
3899.3766  87075.1
3900.8529  92266.68
3902.3292  97124.95
3903.8055  101795.3
3905.2818  105656.6
3906.7582  109575.4
3908.2345  111957.9
3909.7108  113863.7
3911.1871  116247.6
3912.6635  117315.8
3914.1398  117817.2
3915.6161  119422.6
3917.0924  120078.
3918.5687  120875.1
3920.0451  121297.1
3921.5214  122588.3
3922.9977  123606.2
3924.4740  123088.8
3925.9503  122725.5
3927.4267  120090.4
3928.9030  117721.4
3930.3793  112953.7
3931.8556  107032.7
3933.3320  103975.9
3934.8083  106603.5
3936.2846  111539.6
3937.7609  115302.3
3939.2372  116503.1
3940.7136  117434.3
3942.1899  117424.3
3943.6662  117509.1
3945.1425  117381.6
3946.6189  117981.1
3948.0952  117407.5
3949.5715  115765.2
3951.0478  115433.5
3952.5241  113252.9
3954.0005  110328.4
3955.4768  106157.6
3956.9531  101105.3
3958.4294  96014.19
3959.9058  89789.2
3961.3821  83294.12
3962.8584  75044.67
3964.3347  65689.64
3965.8110  56269.21
3967.2874  47799.28
3968.7637  43417.9
3970.2400  44424.88
3971.7163  49743.46
3973.1927  57744.23
3974.6690  66884.09
3976.1453  76146.67
3977.6216  85561.49
3979.0979  93043.17
3980.5743  99429.03
3982.0506  105159.4
3983.5269  110818.8
3985.0032  115433.5
3986.4795  119345.9
3987.9559  122977.
3989.4322  125781.6
3990.9085  128212.5
3992.3848  130026.7
3993.8612  131637.5
3995.3375  132477.
3996.8138  133251.5
3998.2901  134515.2
3999.7664  135537.9
4001.2428  136294.
4002.7191  136469.4
4004.1954  137357.5
4005.6717  137764.9
4007.1481  139549.2
4008.6244  140945.2
4010.1007  141095.8
4011.5770  140978.4
4013.0533  141398.6
4014.5297  142107.1
4016.0060  143096.2
4017.4823  144633.
4018.9586  144895.7
4020.4350  144233.6
4021.9113  143894.4
4023.3876  143168.2
4024.8639  142527.9
4026.3402  142984.8
4027.8166  143875.
4029.2929  143810.9
4030.7692  144267.1
4032.2455  145033.5
4033.7218  146806.8
4035.1982  148161.9
4036.6745  149317.
4038.1508  148741.
4039.6271  148325.8
4041.1035  148564.3
4042.5798  148005.4
4044.0561  146759.7
4045.5324  146364.4
4047.0087  146987.8
4048.4851  147946.2
4049.9614  148166.5
4051.4377  148874.8
4052.9140  148456.8
4054.3904  148078.9
4055.8667  148419.8
4057.3430  148490.6
4058.8193  149078.5
4060.2956  148420.9
4061.7720  147590.7
4063.2483  146710.2
4064.7246  145899.3
4066.2009  146031.4
4067.6773  146286.9
4069.1536  145973.7
4070.6299  143969.1
4072.1062  143327.
4073.5825  142467.1
4075.0589  141487.6
4076.5352  140338.3
4078.0115  139210.9
4079.4878  137976.3
4080.9641  136668.7
4082.4405  134716.8
4083.9168  131356.7
4085.3931  127969.7
4086.8694  123752.5
4088.3458  119307.3
4089.8221  114614.4
4091.2984  107830.6
4092.7747  99830.21
4094.2510  91740.7
4095.7274  82361.29
4097.2037  72432.89
4098.6800  63401.73
4100.1563  56323.71
4101.6327  54294.04
4103.1090  58075.88
4104.5853  66629.35
4106.0616  77269.4
4107.5379  86799.68
4109.0143  95626.97
4110.4906  103670.3
4111.9669  110743.1
4113.4432  118084.3
4114.9196  124708.8
4116.3959  129445.6
4117.8722  133245.2
4119.3485  136435.5
4120.8248  139406.4
4122.3012  142293.6
4123.7775  143608.9
4125.2538  144487.5
4126.7301  144782.3
4128.2064  144751.1
4129.6828  145706.7
4131.1591  147289.5
4132.6354  150458.9
4134.1117  153505.7
4135.5881  155723.7
4137.0644  157186.5
4138.5407  158096.9
4140.0170  158530.8
4141.4933  157581.7
4142.9697  157049.1
4144.4460  157437.6
4145.9223  157975.2
4147.3986  158407.4
4148.8750  158610.5
4150.3513  158181.2
4151.8276  156991.8
4153.3039  157113.1
4154.7802  157292.6
4156.2566  157626.2
4157.7329  158305.8
4159.2092  159052.1
4160.6855  160114.2
4162.1619  161462.9
4163.6382  162101.5
4165.1145  161522.2
4166.5908  161624.7
4168.0671  161774.
4169.5435  160803.2
4171.0198  159985.3
4172.4961  159117.7
4173.9724  159356.7
4175.4487  160605.3
4176.9251  159906.6
4178.4014  160039.2
4179.8777  161588.1
4181.3540  162130.7
4182.8304  163073.
4184.3067  163702.1
4185.7830  163859.1
4187.2593  164468.4
4188.7356  164487.7
4190.2120  164290.8
4191.6883  165188.8
4193.1646  165721.6
4194.6409  165262.2
4196.1173  165861.2
4197.5936  165609.5
4199.0699  164637.9
4200.5462  165174.5
4202.0225  165813.
