#JD      =     2455808.62793044                                                 
Wave   Flux
3657.2598  24650.76
3658.7361  24670.27
3660.2124  24669.86
3661.6887  24697.21
3663.1651  24799.37
3664.6414  24863.43
3666.1177  24845.17
3667.5940  24886.25
3669.0703  25081.55
3670.5467  25208.91
3672.0230  24988.75
3673.4993  24989.79
3674.9756  25213.98
3676.4520  25186.63
3677.9283  25272.88
3679.4046  25182.55
3680.8809  25466.9
3682.3572  25446.49
3683.8336  25382.62
3685.3099  25604.53
3686.7862  25785.95
3688.2625  26066.42
3689.7388  26387.55
3691.2152  26459.34
3692.6915  26873.35
3694.1678  26965.23
3695.6441  26927.07
3697.1205  27123.03
3698.5968  27649.67
3700.0731  28133.03
3701.5494  28094.53
3703.0257  27632.4
3704.5021  27497.25
3705.9784  28116.83
3707.4547  28654.52
3708.9310  28415.69
3710.4074  28117.68
3711.8837  28102.56
3713.3600  29100.15
3714.8363  30661.92
3716.3126  32278.75
3717.7890  32119.88
3719.2653  30486.46
3720.7416  28712.2
3722.2179  28410.19
3723.6943  30398.
3725.1706  33298.79
3726.6469  35582.28
3728.1232  36250.25
3729.5995  35689.94
3731.0759  33305.27
3732.5522  30073.04
3734.0285  28680.21
3735.5048  29410.12
3736.9811  32770.99
3738.4575  37378.73
3739.9338  41313.28
3741.4101  43384.35
3742.8864  43767.2
3744.3628  41763.73
3745.8391  37814.93
3747.3154  33722.16
3748.7917  30383.22
3750.2680  29693.86
3751.7444  32191.14
3753.2207  37021.74
3754.6970  42612.65
3756.1733  47263.98
3757.6497  50371.82
3759.1260  51798.23
3760.6023  52561.66
3762.0786  51820.58
3763.5549  49649.67
3765.0313  45957.37
3766.5076  40867.72
3767.9839  35735.36
3769.4602  32221.27
3770.9366  31747.93
3772.4129  34536.59
3773.8892  40438.43
3775.3655  47056.17
3776.8418  53728.95
3778.3182  59434.55
3779.7945  64067.23
3781.2708  67397.62
3782.7471  69169.41
3784.2234  70107.66
3785.6998  69348.77
3787.1761  67290.59
3788.6524  64487.92
3790.1287  59836.96
3791.6051  54152.55
3793.0814  47818.11
3794.5577  41092.09
3796.0340  35398.34
3797.5103  32872.54
3798.9867  34722.72
3800.4630  40165.59
3801.9393  47224.32
3803.4156  54174.33
3804.8920  61044.19
3806.3683  67182.67
3807.8446  73008.23
3809.3209  77934.98
3810.7972  81221.51
3812.2736  82956.52
3813.7499  83923.58
3815.2262  85345.05
3816.7025  86641.66
3818.1789  86192.86
3819.6552  84978.
3821.1315  83121.09
3822.6078  80085.02
3824.0841  75908.73
3825.5605  71249.95
3827.0368  65243.54
3828.5131  59217.2
3829.9894  52528.58
3831.4657  45466.36
3832.9421  38945.38
3834.4184  35050.12
3835.8947  35196.96
3837.3710  39716.53
3838.8474  46716.83
3840.3237  54574.71
3841.8000  62492.48
3843.2763  69896.05
3844.7526  75935.03
3846.2290  81693.52
3847.7053  86293.16
3849.1816  90702.36
3850.6579  94206.89
3852.1343  97186.84
3853.6106  98975.97
3855.0869  99994.
3856.5632  100838.1
3858.0395  100382.8
3859.5159  101721.
3860.9922  103804.9
3862.4685  104462.6
3863.9448  105302.7
3865.4212  105924.5
3866.8975  106092.6
3868.3738  105785.8
3869.8501  104499.2
3871.3264  102125.5
3872.8028  99744.63
3874.2791  96973.75
3875.7554  93189.02
3877.2317  88201.73
3878.7080  82505.08
3880.1844  76482.73
3881.6607  69987.31
3883.1370  62362.45
3884.6133  54225.49
3886.0897  46010.97
3887.5660  40422.93
3889.0423  38663.97
3890.5186  42670.45
3891.9949  49949.89
3893.4713  58200.88
3894.9476  66467.62
3896.4239  73930.36
3897.9002  80455.05
3899.3766  85825.34
3900.8529  91709.09
3902.3292  96927.51
3903.8055  100865.8
3905.2818  104306.4
3906.7582  108512.7
3908.2345  112470.5
3909.7108  114853.9
3911.1871  115827.
3912.6635  116551.9
3914.1398  117781.4
3915.6161  118953.4
3917.0924  120048.8
3918.5687  121163.5
3920.0451  122295.3
3921.5214  123520.6
3922.9977  124155.1
3924.4740  124242.6
3925.9503  123218.2
3927.4267  122345.5
3928.9030  119724.6
3930.3793  114572.2
3931.8556  108052.2
3933.3320  104516.1
3934.8083  107831.8
3936.2846  114284.5
3937.7609  119945.7
3939.2372  123003.2
3940.7136  122867.7
3942.1899  122192.8
3943.6662  121834.7
3945.1425  121462.2
3946.6189  120744.5
3948.0952  119628.3
3949.5715  118281.4
3951.0478  116515.7
3952.5241  114066.2
3954.0005  111021.3
3955.4768  107223.8
3956.9531  103077.6
3958.4294  98239.48
3959.9058  92727.95
3961.3821  85682.57
3962.8584  76948.34
3964.3347  68084.64
3965.8110  58573.02
3967.2874  48835.95
3968.7637  42706.35
3970.2400  42617.39
3971.7163  47892.64
3973.1927  56369.71
3974.6690  66076.22
3976.1453  75584.58
3977.6216  84318.95
3979.0979  91986.7
3980.5743  99069.42
3982.0506  105156.6
3983.5269  110501.6
3985.0032  114594.5
3986.4795  118596.4
3987.9559  122599.
3989.4322  126016.
3990.9085  128986.5
3992.3848  130383.8
3993.8612  131917.3
3995.3375  133725.6
3996.8138  134453.4
3998.2901  135432.9
3999.7664  137191.6
4001.2428  137949.6
4002.7191  137849.7
4004.1954  137972.3
4005.6717  139484.4
4007.1481  141077.6
4008.6244  141748.
4010.1007  142246.2
4011.5770  142463.9
4013.0533  142679.5
4014.5297  144173.6
4016.0060  145173.8
4017.4823  145602.8
4018.9586  146728.4
4020.4350  146672.4
4021.9113  145512.9
4023.3876  144946.3
4024.8639  144627.4
4026.3402  144890.8
4027.8166  145738.1
4029.2929  146626.8
4030.7692  146675.4
4032.2455  146760.9
4033.7218  147861.2
4035.1982  149289.
4036.6745  150152.3
4038.1508  150854.3
4039.6271  150432.8
4041.1035  150703.5
4042.5798  150276.
4044.0561  149685.
4045.5324  148829.8
4047.0087  149730.3
4048.4851  150178.1
4049.9614  150773.8
4051.4377  151292.8
4052.9140  150721.3
4054.3904  150708.8
4055.8667  150653.7
4057.3430  150986.4
4058.8193  151219.2
4060.2956  151036.5
4061.7720  150053.4
4063.2483  149087.9
4064.7246  148681.2
4066.2009  148183.8
4067.6773  148702.6
4069.1536  147873.
4070.6299  146774.2
4072.1062  146129.6
4073.5825  144956.7
4075.0589  144049.6
4076.5352  142309.8
4078.0115  141086.3
4079.4878  141022.
4080.9641  139774.8
4082.4405  137316.7
4083.9168  134915.9
4085.3931  131062.1
4086.8694  126609.2
4088.3458  122340.3
4089.8221  117649.3
4091.2984  111333.5
4092.7747  103987.8
4094.2510  95606.59
4095.7274  86267.2
4097.2037  76365.62
4098.6800  66738.52
4100.1563  58487.73
4101.6327  54497.45
4103.1090  56732.56
4104.5853  64897.14
4106.0616  75329.37
4107.5379  85363.16
4109.0143  95087.6
4110.4906  103819.5
4111.9669  111527.2
4113.4432  118449.2
4114.9196  124456.2
4116.3959  129972.5
4117.8722  134136.7
4119.3485  136917.7
4120.8248  140075.8
4122.3012  143334.9
4123.7775  145358.2
4125.2538  147011.2
4126.7301  148048.6
4128.2064  147855.4
4129.6828  148069.1
4131.1591  149277.
4132.6354  151207.9
4134.1117  154433.4
4135.5881  157238.5
4137.0644  159368.5
4138.5407  160519.9
4140.0170  161128.9
4141.4933  160131.9
4142.9697  159735.8
4144.4460  159894.9
4145.9223  160454.3
4147.3986  161605.1
4148.8750  162258.1
4150.3513  162518.8
4151.8276  161713.3
4153.3039  163064.3
4154.7802  162377.8
4156.2566  161292.3
4157.7329  161761.6
4159.2092  162521.6
4160.6855  164038.
4162.1619  164073.9
4163.6382  164651.6
4165.1145  165155.8
4166.5908  164874.6
4168.0671  163955.5
4169.5435  163274.7
4171.0198  162418.
4172.4961  161057.6
4173.9724  161156.8
4175.4487  162033.1
4176.9251  162042.7
4178.4014  162026.3
4179.8777  162948.
4181.3540  164840.5
4182.8304  165252.6
4184.3067  165811.1
4185.7830  166083.1
4187.2593  167259.5
4188.7356  166630.6
4190.2120  166521.6
4191.6883  167958.
4193.1646  169094.6
4194.6409  168219.3
4196.1173  168121.5
4197.5936  166566.9
4199.0699  166093.3
4200.5462  167420.8
4202.0225  167565.1
4203.4989  168517.
4204.9752  170222.6
4206.4515  170050.4
4207.9278  170411.6
4209.4042  170688.2
4210.8805  170997.2
4212.3568  171506.6
4213.8331  171023.4
4215.3094  170505.6
4216.7858  170465.9
4218.2621  170128.
4219.7384  170960.8
4221.2147  171334.8
4222.6911  171815.7
4224.1674  170754.1
4225.6437  169041.6
4227.1200  168584.6
4228.5963  169554.5
4230.0727  170743.
4231.5490  170243.
4233.0253  169359.
4234.5016  168768.2
4235.9779  169761.4
4237.4543  171069.5
4238.9306  171705.6
4240.4069  172348.9
4241.8832  172644.2
4243.3596  172165.8
4244.8359  172122.4
4246.3122  171471.
4247.7885  171412.9
4249.2648  171432.6
4250.7412  171831.4
4252.2175  171629.1
4253.6938  172063.9
4255.1701  172633.7
4256.6465  172407.1
4258.1228  171558.8
4259.5991  170560.9
4261.0754  169947.4
4262.5517  170738.
4264.0281  171680.6
4265.5044  173108.4
4266.9807  173585.6
4268.4570  172918.7
4269.9334  172261.3
4271.4097  171249.8
4272.8860  170615.7
4274.3623  170964.7
4275.8386  172740.8
4277.3150  173642.3
4278.7913  174147.1
4280.2676  174301.1
4281.7439  173748.4
4283.2202  173241.1
4284.6966  173535.5
4286.1729  173618.2
4287.6492  172636.5
4289.1255  171868.1
4290.6019  170678.8
4292.0782  170137.2
4293.5545  170479.
4295.0308  170471.
4296.5071  170464.5
4297.9835  170137.9
4299.4598  168375.9
4300.9361  166573.3
4302.4124  165927.6
4303.8888  166018.6
4305.3651  167693.7
4306.8414  167527.2
4308.3177  166346.
4309.7940  165919.3
4311.2704  165689.
4312.7467  164587.4
4314.2230  162761.8
4315.6993  160635.9
4317.1757  159960.
4318.6520  159593.3
4320.1283  157479.4
4321.6046  154465.4
4323.0809  150831.3
4324.5573  146234.3
4326.0336  141844.1
4327.5099  136957.9
4328.9862  131740.1
4330.4625  125249.9
4331.9389  117049.7
4333.4152  108814.7
4334.8915  99593.17
4336.3678  89355.27
4337.8442  78705.6
4339.3205  69947.15
4340.7968  66230.23
4342.2731  69365.72
4343.7494  78143.86
4345.2258  89478.91
4346.7021  100364.3
4348.1784  109732.4
4349.6547  118290.8
4351.1311  125206.
4352.6074  131777.4
4354.0837  138665.3
4355.5600  145207.8
4357.0363  150510.7
4358.5127  154594.9
4359.9890  158378.5
4361.4653  161136.3
4362.9416  163690.1
4364.4180  166935.1
4365.8943  168850.1
4367.3706  169413.1
4368.8469  170482.1
4370.3232  171628.1
4371.7996  173257.2
4373.2759  173691.4
4374.7522  173934.2
4376.2285  174435.5
4377.7048  176474.6
4379.1812  177708.
4380.6575  177641.8
4382.1338  176410.
4383.6101  173656.7
4385.0865  172658.6
4386.5628  174006.7
4388.0391  175860.6
4389.5154  177582.4
4390.9917  177883.1
4392.4681  177877.2
4393.9444  177425.8
4395.4207  177460.
4396.8970  179540.4
4398.3734  180363.3
4399.8497  180113.9
4401.3260  180471.
4402.8023  179938.7
4404.2786  180301.5
4405.7550  181276.6
4407.2313  182022.4
4408.7076  182616.2
4410.1839  182875.3
4411.6603  183277.
4413.1366  181907.1
4414.6129  180469.8
4416.0892  178892.6
4417.5655  178269.2
4419.0419  179630.5
4420.5182  181470.6
4421.9945  182620.6
4423.4708  182202.9
4424.9471  182251.7
4426.4235  181998.3
4427.8998  181785.2
4429.3761  181935.2
4430.8524  181506.
4432.3288  181098.7
4433.8051  181657.4
4435.2814  181620.
4436.7577  181931.
4438.2340  182726.8
4439.7104  183450.5
4441.1867  182468.7
4442.6630  181355.
4444.1393  180889.3
4445.6157  181051.5
4447.0920  183063.
4448.5683  181805.7
4450.0446  182845.7
4451.5209  183886.
4452.9973  183818.7
4454.4736  183803.
4455.9499  184518.5
4457.4262  184157.2
4458.9026  184933.7
4460.3789  185627.1
4461.8552  185408.4
4463.3315  184981.4
4464.8078  185934.5
4466.2842  185278.7
4467.7605  183301.9
4469.2368  181800.4
4470.7131  181868.
4472.1894  183030.5
4473.6658  184167.1
4475.1421  184673.8
4476.6184  184256.2
4478.0947  182485.2
4479.5711  178881.7
4481.0474  174748.1
4482.5237  174851.
4484.0000  179784.5
4485.4763  184245.
4486.9527  185238.5
4488.4290  184764.
4489.9053  184525.1
4491.3816  184833.4
4492.8580  186110.9
4494.3343  187070.4
4495.8106  187886.4
4497.2869  187603.
4498.7632  186596.9
4500.2396  186130.8
4501.7159  186146.7
4503.1922  187059.
4504.6685  188753.1
4506.1449  188777.1
4507.6212  187227.5
4509.0975  186723.
4510.5738  187587.4
4512.0501  188552.1
4513.5265  188228.
4515.0028  187101.
4516.4791  186746.8
4517.9554  186915.4
4519.4318  186498.7
4520.9081  185646.5
4522.3844  185392.1
4523.8607  186091.6
4525.3370  186785.4
4526.8134  186409.1
4528.2897  185891.
4529.7660  186297.1
4531.2423  186844.7
4532.7186  186037.1
4534.1950  185286.1
4535.6713  186020.4
4537.1476  187887.8
4538.6239  188694.2
4540.1003  188452.
4541.5766  187896.1
4543.0529  187999.5
4544.5292  188489.5
